element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Null,-0.044910576194524,0.0041518323123449,0.012932863086462,-0.010163068771362,0.007605779916048,0.0292690284550179,0.033980194479227,0.018202271312475,0.042308006435632,-0.019319642335176,-0.035417031496763,0.020450297743082,-0.016479112207889,0.027975413948297,0.034488748759031,0.021560285240411
H,0.352362900972366,0.635952353477478,0.217337980866432,-0.1919562518596639,0.253751367330551,-0.4232611954212181,0.221297293901443,-0.452411115169525,-1.007712602615356,-0.289936184883117,0.126820132136344,-0.025928407907485,0.7175076007843011,-0.631992936134338,0.021095490083098,-0.270104497671127
He,-0.067219823598861,0.14111341536045,0.164495199918746,0.136700749397277,0.016504688188433,0.073928982019424,0.1510929018259039,-0.138169795274734,-0.180051505565643,-0.1306421011686319,0.18401999771595,-0.024525566026568,-0.034059606492519,-0.217201232910156,0.165278419852256,-0.0421853102743619
Li,-0.161448791623115,0.1794957518577569,-0.114183604717254,0.136509597301483,0.106477178633213,0.047109439969062,0.06510441750288,-0.06909891963005,-0.210580840706825,-0.03003542125225,0.12246099114418,-0.388678520917892,0.137058615684509,-0.357075721025466,0.299677789211273,0.306349575519561
Be,-0.111666202545166,0.7601816058158871,0.0578292347490779,0.250146985054016,-0.3969341814517969,0.128850281238555,0.0379424914717669,0.135462999343872,-0.2022210508584969,-0.046164534986019,0.166104555130004,0.21456304192543,-0.021428257226943,-0.594812393188476,0.3956535756587981,0.000692882458679
B,0.260108441114425,0.7078984975814809,0.064846456050872,-0.300478011369705,-0.5102187395095821,0.082543738186359,0.5897918343544001,0.5232884287834161,-0.6722662448883051,0.4904840588569641,0.49622642993927,0.3865301609039301,0.181043237447738,-0.6201106309890739,-0.177121058106422,-0.171613305807113
C,0.3981479406356809,0.7444849610328671,0.662635564804077,-0.5205782055854791,-0.6738849282264711,-0.4766537249088279,0.6987195014953611,0.60738456249237,-0.5621600747108461,0.673558354377746,0.5874400138854979,0.6192057728767391,0.615197658538818,-0.7497640252113341,-0.5522503256797789,-0.6527508497238149
N,0.611493647098541,0.00180955149699,0.6204571127891539,-0.4460086226463309,0.094430886209011,-0.8179216384887691,-0.130235627293586,-0.6459084749221801,0.021001152694225,-0.2713616490364069,-0.204579606652259,0.5867201089859001,0.663306832313537,-0.5849312543869011,-0.3675343394279481,-0.5598848462104791
O,-0.113971650600433,-0.1886726766824719,0.108997799456119,0.214548140764236,0.37114417552948,-0.10302847623825,-0.404307097196579,-0.5028001666069031,0.313224524259567,-0.4655468165874479,-0.3694535791873929,-0.1037021055817599,-0.042887836694717,0.087556652724742,0.192866533994674,0.038901515305042
F,-0.308104753494262,-0.5756142139434809,-0.1718352437019339,0.4623242020606989,0.7021463513374321,0.22010600566864,-0.5033063888549799,-0.394980043172836,0.28345039486885,-0.5842900872230531,-0.465051442384719,-0.4471202194690701,-0.242727115750312,0.444719463586807,0.5018503665924071,0.371508181095123
